>	aa
91.905792	7.327599
91.899643	7.349936
91.898438	7.354318
91.896873	7.360000
91.896202	7.362467
91.895363	7.365518
91.886627	7.397332
91.884918	7.403541
91.882217	7.413420
91.877075	7.432194
91.874939	7.440000
91.872345	7.449290
91.868980	7.461401
91.867409	7.467054
91.863281	7.481920
91.857727	7.501910
91.855614	7.509511
91.852699	7.520000
91.848213	7.536764
91.842766	7.557103
91.838875	7.571615
91.838608	7.572617
91.831352	7.600000
91.830284	7.604326
91.829750	7.606464
91.828125	7.613031
91.825577	7.623317
91.821144	7.641309
91.818893	7.650458
91.812569	7.676152
91.811623	7.680000
91.807304	7.696788
91.803650	7.710992
91.795639	7.742121
91.795273	7.743549
91.794685	7.745829
91.792969	7.752473
91.791031	7.760000
91.785431	7.780663
91.783974	7.786041
91.782684	7.790856
91.776070	7.815494
91.769966	7.838285
91.769501	7.840000
91.766388	7.850322
91.757812	7.878775
91.755890	7.885147
91.755074	7.887860
91.754356	7.890246
91.745575	7.919970
91.737503	7.939706
91.737244	7.940342
91.731415	7.954789
91.722656	7.976486
91.717361	7.989606
91.713837	7.998342
91.713165	8.000000
91.699883	8.024419
91.687500	8.047189
91.680954	8.059230
91.675522	8.069213
91.673363	8.073227
91.669716	8.080000
91.662804	8.092316
91.661842	8.094037
91.652344	8.111000
91.642357	8.128842
91.629936	8.151026
91.624908	8.160000
91.622978	8.163643
91.617188	8.174552
91.604507	8.198442
91.590492	8.224864
91.586479	8.232423
91.586044	8.233237
91.582451	8.240000
91.582031	8.240809
91.578842	8.247019
91.568077	8.268029
91.553741	8.296026
91.550262	8.302819
91.546875	8.309428
91.541458	8.320000
91.532722	8.337605
91.519073	8.365115
91.518318	8.366627
91.515480	8.372388
91.511719	8.380026
91.501877	8.400000
91.498840	8.407168
91.489532	8.429114
91.484093	8.441945
91.476562	8.459705
91.475731	8.461668
91.469254	8.476719
91.467834	8.480000
91.464485	8.488663
91.455650	8.511489
91.442688	8.544987
91.442200	8.546257
91.441406	8.548306
91.440125	8.551629
91.436829	8.560000
91.428841	8.581021
91.421272	8.600928
91.415627	8.615782
91.407043	8.638360
91.406418	8.640000
91.406250	8.640500
91.402840	8.650540
91.401115	8.655614
91.391037	8.685295
91.383354	8.707929
91.383163	8.708477
91.379250	8.720000
91.379242	8.720046
91.379181	8.720249
91.377235	8.727453
91.371094	8.750164
91.369843	8.754795
91.369385	8.756485
91.360443	8.789540
91.358261	8.797602
91.357620	8.800000
91.356834	8.803629
91.352364	8.824281
91.347275	8.847819
91.344849	8.859020
91.341805	8.873080
91.340332	8.880000
91.338463	8.891262
91.338043	8.893755
91.335938	8.906429
91.332893	8.924742
91.332268	8.928487
91.331543	8.932824
91.327026	8.960000
91.326683	8.963216
91.325592	8.973438
91.325554	8.973761
91.322929	8.997941
91.321373	9.012328
91.319168	9.032663
91.318367	9.040000
91.317703	9.050673
91.316658	9.067381
91.316139	9.075594
91.315369	9.087693
91.314445	9.102097
91.313301	9.120000
91.313118	9.124631
91.312622	9.136809
91.311646	9.160789
91.311211	9.171517
91.310966	9.177591
91.310165	9.196956
91.310043	9.199999
91.309860	9.206222
91.309082	9.232734
91.308838	9.240924
91.308243	9.261125
91.308022	9.268474
91.307816	9.275622
91.307686	9.279998
91.307564	9.287658
91.307297	9.303885
91.307198	9.310317
91.306732	9.339136
91.306641	9.345008
91.306396	9.360003
91.306335	9.374214
91.306313	9.379696
91.306244	9.397179
91.306198	9.409034
91.306183	9.414381
91.306091	9.440033
91.306152	9.443766
91.306236	9.449062
91.306686	9.477916
91.306778	9.483739
91.306953	9.494948
91.307213	9.512071
91.307304	9.518413
91.307327	9.519979
91.308418	9.545553
91.308739	9.553084
91.309807	9.578289
91.309830	9.578828
91.310226	9.587751
91.310745	9.599613
91.311478	9.611869
91.312103	9.622414
91.313431	9.644605
91.313637	9.648083
91.314148	9.657074
91.315315	9.677402
91.315422	9.679236
91.315903	9.691730
91.316635	9.710757
91.316727	9.713175
91.317223	9.726383
91.317886	9.744175
91.318481	9.760243
91.318489	9.761032
91.318604	9.777521
91.318604	9.778112
91.318733	9.795678
91.318848	9.812515
91.318977	9.830319
91.319084	9.845919
91.319084	9.846924
91.319077	9.850348
91.319092	9.864958
91.319115	9.881531
91.319138	9.899592
91.319153	9.916122
91.319176	9.934223
91.319183	9.936900
91.319183	9.937442
91.319305	9.950604
91.319473	9.968851
91.319618	9.984921
91.319786	10.003474
91.319931	10.019234
91.320038	10.030707
91.320084	10.032864
91.320183	10.038094
91.320465	10.053326
91.320839	10.072710
91.321114	10.087306
91.321495	10.107323
91.321754	10.121283
